officename,pincode,officeType,Deliverystatus,divisionname,regionname,circlename,Taluk,Districtname,statename,Telephone,Related Suboffice,Related Headoffice,longitude,latitude,latitude,longitude
Mekha Timbi B.O,360470,B.O,Delivery,Gondal,Rajkot,Gujarat,Upleta,Rajkot,GUJARAT,NA,Kolki S.O (Rajkot),Gondal H.O,NA,NA,NA,NA
Mengni S.O,360070,S.O,Delivery,Gondal,Rajkot,Gujarat,Kotda Sangani,Rajkot,GUJARAT,02827-295541,NA,Gondal H.O,9.9806653,53.6630618,53.6630618,9.9806653
Mervadar B.O,360490,B.O,Delivery,Gondal,Rajkot,Gujarat,Upleta,Rajkot,GUJARAT,NA,Upleta Lati Plot S.O,Gondal H.O,70.27893820588235,21.742353,21.742353,70.27893820588235
Meta Khambhaliya B.O,364465,B.O,Delivery,Gondal,Rajkot,Gujarat,Gondal,Rajkot,GUJARAT,NA,Derdi Kumbaji S.O,Gondal H.O,70.9948575,21.7502084,21.7502084,70.9948575
Mevasa B.O,360370,B.O,Delivery,Gondal,Rajkot,Gujarat,Jetpur,Rajkot,GUJARAT,NA,Jetpur S.O,Gondal H.O,70.62046149523809,21.756601514285713,21.756601514285713,70.62046149523809
Modhuka B.O,360055,B.O,Delivery,Gondal,Rajkot,Gujarat,Jasdan,Rajkot,GUJARAT,NA,Vinchhiya S.O,Gondal H.O,23.7022199,38.023527,38.023527,23.7022199
Mojira B.O,360490,B.O,Delivery,Gondal,Rajkot,Gujarat,Upleta,Rajkot,GUJARAT,NA,Upleta Lati Plot S.O,Gondal H.O,70.27893820588235,21.742353,21.742353,70.27893820588235
Mota Gundala B.O,360370,B.O,Delivery,Gondal,Rajkot,Gujarat,Jetpur,Rajkot,GUJARAT,NA,Jetpur S.O,Gondal H.O,70.62046149523809,21.756601514285713,21.756601514285713,70.62046149523809
Mota Mandva B.O,360311,B.O directly a/w Head Office,Delivery,Gondal,Rajkot,Gujarat,Gondal,Rajkot,GUJARAT,NA,NA,Gondal H.O,70.78559598571428,21.979253625714286,21.979253625714286,70.78559598571428
Moti Khilori B.O,364465,B.O,Delivery,Gondal,Rajkot,Gujarat,Gondal,Rajkot,GUJARAT,NA,Derdi Kumbaji S.O,Gondal H.O,70.9948575,21.7502084,21.7502084,70.9948575
