officename,pincode,officeType,Deliverystatus,divisionname,regionname,circlename,Taluk,Districtname,statename,Telephone,Related Suboffice,Related Headoffice,longitude,latitude
Manhere B.O,422604,B.O,Delivery,Shrirampur,Pune,Maharashtra,Akole,Ahmed Nagar,MAHARASHTRA,NA,Rajur S.O,Shrirampur H.O,NA,NA
Manjari B.O,413705,B.O,Delivery,Shrirampur,Pune,Maharashtra,Rahuri,Ahmed Nagar,MAHARASHTRA,NA,Rahuri S.O,Shrirampur H.O,NA,NA
Manjur B.O,423604,B.O,Delivery,Shrirampur,Pune,Maharashtra,Kopargaon,Ahmed Nagar,MAHARASHTRA,NA,Chas-nali S.O,Shrirampur H.O,NA,NA
Manori B.O,413705,B.O,Delivery,Shrirampur,Pune,Maharashtra,Rahuri,Ahmed Nagar,MAHARASHTRA,NA,Rahuri S.O,Shrirampur H.O,NA,NA
Matapur B.O,413717,B.O,Delivery,Shrirampur,Pune,Maharashtra,Shrirampur,Ahmed Nagar,MAHARASHTRA,NA,Karegaon Factory S.O,Shrirampur H.O,NA,NA
Maveshi B.O,422604,B.O,Delivery,Shrirampur,Pune,Maharashtra,Akole,Ahmed Nagar,MAHARASHTRA,NA,Rajur S.O,Shrirampur H.O,NA,NA
Maygaon Devi B.O,423607,B.O,Delivery,Shrirampur,Pune,Maharashtra,Kopergaon,Ahmed Nagar,MAHARASHTRA,NA,Dhamori S.O,Shrirampur H.O,NA,NA
Mhaisgaon B.O,413706,B.O,Delivery,Shrirampur,Pune,Maharashtra,Rahuri,Ahmed Nagar,MAHARASHTRA,NA,Rahuri Factory S.O,Shrirampur H.O,NA,NA
Mukindpur B.O,414603,B.O,Delivery,Shrirampur,Pune,Maharashtra,Nevasa,Ahmed Nagar,MAHARASHTRA,NA,Nevasa S.O,Shrirampur H.O,NA,NA
Mulanagar B.O,413722,B.O,Delivery,Shrirampur,Pune,Maharashtra,Rahuri,Ahmed Nagar,MAHARASHTRA,NA,Rahuri MPKV S.O,Shrirampur H.O,NA,NA
Murme (Deogad) B.O,414603,B.O,Delivery,Shrirampur,Pune,Maharashtra,Nevasa,Ahmed Nagar,MAHARASHTRA,NA,Nevasa S.O,Shrirampur H.O,NA,NA
Murshatpur B.O,423601,B.O,Delivery,Shrirampur,Pune,Maharashtra,Kopergaon,Ahmed Nagar,MAHARASHTRA,NA,Kopergaon S.O,Shrirampur H.O,NA,NA
Musalwadi B.O,413716,B.O,Delivery,Shrirampur,Pune,Maharashtra,Rahuri,Ahmed Nagar,MAHARASHTRA,NA,Deolali -pravara S.O,Shrirampur H.O,NA,NA
Muthalane B.O,422601,B.O,Delivery,Shrirampur,Pune,Maharashtra,Akole,Ahmed Nagar,MAHARASHTRA,NA,Akole S.O,Shrirampur H.O,NA,NA
Muthkhel B.O,422604,B.O,Delivery,Shrirampur,Pune,Maharashtra,Akole,Ahmed Nagar,MAHARASHTRA,NA,Rajur S.O,Shrirampur H.O,NA,NA
Nanaj Dumala S.O,422611,S.O,Delivery,Shrirampur,Pune,Maharashtra,Sangamner,Ahmed Nagar,MAHARASHTRA,02425-262022,NA,Shrirampur H.O,NA,NA
Nandur Khandarmal B.O,422620,B.O,Delivery,Shrirampur,Pune,Maharashtra,Sangamner,Ahmed Nagar,MAHARASHTRA,NA,Ghargaon S.O,Shrirampur H.O,NA,NA
Nanduri Dumala B.O,422603,B.O,Delivery,Shrirampur,Pune,Maharashtra,Sangamner,Ahmed Nagar,MAHARASHTRA,NA,Dhandharphal S.O,Shrirampur H.O,NA,NA
Narsali B.O,413715,B.O,Delivery,Shrirampur,Pune,Maharashtra,Shrirampur.,Ahmed Nagar,MAHARASHTRA,NA,Belapur S.O,Shrirampur H.O,NA,NA
Naur B.O,413707,B.O,Delivery,Shrirampur,Pune,Maharashtra,Rahata,Ahmed Nagar,MAHARASHTRA,NA,Pun Tamba S.O,Shrirampur H.O,NA,NA
Nevasa S.O,414603,S.O,Delivery,Shrirampur,Pune,Maharashtra,Nevasa,Ahmed Nagar,MAHARASHTRA,02427-241222,NA,Shrirampur H.O,NA,NA
Newasa Bk B.O,414603,B.O,Delivery,Shrirampur,Pune,Maharashtra,Nevasa,Ahmed Nagar,MAHARASHTRA,NA,Nevasa S.O,Shrirampur H.O,NA,NA
Nilwande B.O,422605,B.O,Delivery,Shrirampur,Pune,Maharashtra,Sangamner,Ahmed Nagar,MAHARASHTRA,NA,Sangamner S.O,Shrirampur H.O,NA,NA
Nimaj B.O,422605,B.O,Delivery,Shrirampur,Pune,Maharashtra,Sangamner,Ahmed Nagar,MAHARASHTRA,NA,Sangamner S.O,Shrirampur H.O,NA,NA
Nimbhere B.O,413711,B.O,Delivery,Shrirampur,Pune,Maharashtra,Shrirampur.,Ahmed Nagar,MAHARASHTRA,NA,Songaon S.O,Shrirampur H.O,NA,NA
Nimgaon Bhojapur B.O,422605,B.O,Delivery,Shrirampur,Pune,Maharashtra,Sangamner,Ahmed Nagar,MAHARASHTRA,NA,Sangamner S.O,Shrirampur H.O,NA,NA
Nimgaon Bk B.O,422603,B.O,Delivery,Shrirampur,Pune,Maharashtra,Sangamner,Ahmed Nagar,MAHARASHTRA,NA,Dhandharphal S.O,Shrirampur H.O,NA,NA
Nimgaon Jali B.O,413714,B.O,Delivery,Shrirampur,Pune,Maharashtra,Sangamner,Ahmed Nagar,MAHARASHTRA,NA,Ashvi BK S.O,Shrirampur H.O,NA,NA
Nimgaon Khairi B.O,413723,B.O,Delivery,Shrirampur,Pune,Maharashtra,Rahta,Ahmed Nagar,MAHARASHTRA,NA,Changdeonagar S.O,Shrirampur H.O,NA,NA
Nimgaon Tembhi B.O,422605,B.O,Delivery,Shrirampur,Pune,Maharashtra,Sangamner,Ahmed Nagar,MAHARASHTRA,NA,Sangamner S.O,Shrirampur H.O,NA,NA
Nimon B.O,422611,B.O,Delivery,Shrirampur,Pune,Maharashtra,Sangamner,Ahmed Nagar,MAHARASHTRA,NA,Nanaj Dumala S.O,Shrirampur H.O,NA,NA
Nipani Vadgaon B.O,413739,B.O,Delivery,Shrirampur,Pune,Maharashtra,Shrirampur.,Ahmed Nagar,MAHARASHTRA,NA,Vadala Mahadeo S.O,Shrirampur H.O,NA,NA
Pachegaon B.O,413725,B.O,Delivery,Shrirampur,Pune,Maharashtra,Shrirampur.,Ahmed Nagar,MAHARASHTRA,NA,Takalibhan S.O,Shrirampur H.O,NA,NA
Padalane B.O,422604,B.O,Delivery,Shrirampur,Pune,Maharashtra,Akole,Ahmed Nagar,MAHARASHTRA,NA,Rajur S.O,Shrirampur H.O,NA,NA
Padhegaon B.O,423603,B.O,Delivery,Shrirampur,Pune,Maharashtra,Kopargaon,Ahmed Nagar,MAHARASHTRA,NA,Shinganapur S.O,Shrirampur H.O,NA,NA
Padhegaon S.O,413721,S.O,Delivery,Shrirampur,Pune,Maharashtra,Shrirampur.,Ahmed Nagar,MAHARASHTRA,02422-242421,NA,Shrirampur H.O,NA,NA
Padoshi B.O,422601,B.O,Delivery,Shrirampur,Pune,Maharashtra,Akole,Ahmed Nagar,MAHARASHTRA,NA,Akole S.O,Shrirampur H.O,NA,NA
Palsunde B.O,422610,B.O,Delivery,Shrirampur,Pune,Maharashtra,Akole,Ahmed Nagar,MAHARASHTRA,NA,Kotul S.O,Shrirampur H.O,NA,NA
Pangari B.O,422610,B.O,Delivery,Shrirampur,Pune,Maharashtra,Akole,Ahmed Nagar,MAHARASHTRA,NA,Kotul S.O,Shrirampur H.O,NA,NA
